k,l,QI Level,Execution Time (k-Anonymity),Execution Time (Entropy ℓ-Diversity),Execution Time (Recursive ℓ-Diversity)
2,2,1,0.0025458335876464844,0.061501502990722656,0.05548238754272461
2,2,2,0.0034258365631103516,0.09526371955871582,0.08826518058776855
4,4,1,0.0019183158874511719,0.03305935859680176,0.03527712821960449
4,4,2,0.0029337406158447266,0.07395744323730469,0.07645630836486816
6,6,1,0.00196075439453125,0.03455328941345215,0.034845590591430664
8,8,4,0.616004228591919,0.0062220096588134766,0.005148649215698242
